title,abstract
さまざまなデータベース・デプロイメント,マルチクラウドでシステムを実装するパターンが増えるにつれ、エンジニアひとりひとりの前提知識が異なり、相互理解に時間がかかっています。このセッションでは、OracleDatabaseがとりうるいくつかのデプロイのパターンと、その他のデータベースでとりうるデプロイのパターンを大別・整理して説明します。知見のあるデータベースやプラットフォーム等が異なるエンジニア間の知識の差を埋める一助になれば幸いです。
コンテナガバナンスのベストプラクティス 〜 Cloud Guardの簡単レシピでOKEをがっつり守れ！,Kubernetesの運用に関して、セキュリティとコンプライアンスを維持するためのガバナンスの獲得は重要な課題です。本セッションでは、OCIが提供する Oracle KubernetesEngine（OKE）とCloudGuardを活用した強固なガバナンス基盤を構築する方法を紹介します。そして、CloudGuardを用いてOKE環境のセキュリティリスクを特定するデモを実施し、OCIを活用した実践的なガバナンス強化の手法を具体的に解説します。本セッションを通じて、「OKEとCloudGuardがあれば、Kubernetesのガバナンスはもう怖くない！」と確信していただけます。
超簡単！RAGアプリケーション構築術,時間をかけずにRAGアプリを作りたい方、必見！Autonomous Databaseが提供するAI機能、Select AIとSelect AI withRAGにOracleAPEXを組み合わせることで、データベースやドキュメントを自然言語で検索できるアプリを数ステップで作成することが出来ます。本セッションでは、RAGアプリを簡単に高速に構築する方法をデモを交えてご紹介します。
OpenTelemetryとOCI APM Agentで実践する自動計装,Observabilityな皆様は普段、自動計装を利用されているでしょうか？Javaで自動計装を行う場合、OpenTelemetry JavaAgentを利用されている方も多いと思います。一方、OCIではOCI Application PerformanceMonitoring（APM）というObservabilityサービスを提供しています。もちろん、OCIAPMはOpenTelelmetryのプロトコルにも対応していますが、OCI APMJava Agentによる自動計装も実現できます。このセッションでは、OpenTelemetryとOCI APMAgentを利用した自動計装を皆様と一緒に見ていきたいと思います!!
Cloud Native -ガバクラにおけるCI/CD運用事例 1年で300環境構築の裏側,本セッションでは、ガバメントクラウド（ガバクラ）において大量の本番・検証環境を構築、運用しているCI/CDの実例を紹介します。2025年度末までに完了が求められている「地方公共団体の基幹業務システムの統一・標準化」に向け、約1年で300環境を構築するために使用している、OracleCloud Infrastructure (OCI) のResourceManagerとTerraformを活用したIaCによる環境構築と、OCIDevOpsを活用した50を超える業務アプリの統一的なデプロイ方法について説明します。また、環境ごとに異なるパラメータ、設定などをプラットフォームレイヤ、アプリケーションレイヤでそれぞれカスタマイズできる仕組みなど、環境ごとの差異に対応するためのアプローチについても共有します。
OCI Generative AI におけるマルチモーダル検索の活用,OCI Generative AIに導入されたMeta Llama 3.2 90BVisionを利用し、多様なデータソース（表形式ドキュメント、画像、動画）を統合的に検索するマルチモーダル検索の実装についてご紹介します。その要素技術と検索アプローチを解説するとともに、OCIに閉じた環境における具体的な実装手順を示します。特に、表形式データと画像を用いた検索の実装例、そして動画の類似度検索の実験結果について解説します。
OCIにおけるExaDBの活用と運用,Exadata DatabaseServiceのバックアップ・リカバリ戦略や円滑な運用設計についてお話させていただきます！
SelectAIでSQL研修の演習問題に挑む,一番簡単にデータベースに問い合わせをする方法は自然言語で問い合わせること。日常使用している言葉で、データベースにSelect文を行えるSelectAIの概要や生成されるSelect文の精度UPさせるコツを紹介します。題材として、SQL入門研修の演習問題にどれだけ自然言語だけで回答を導き出せるかチャレンジしてみます。
何ができる？OCI × Dify,みなさんは生成AI使っていますか？AIアプリの開発プラットフォームではDifyが人気ですが、実はOCI上で、このDifyを構築することができます。今回はデモを交えながら、簡単にDify環境がOCI上で構築できることやOCIGenerative AIServiceを使ったRAGのアプリケーションが作成できることを紹介します。
これがOCIの2大RAGサービスだ！- Gen AI Agents/Select AI with RAG徹底比較,OCIではRAG（検索拡張生成）を実装するにあたり、2つのサービスが存在します。1つがGenerative AI Agents、もう1つがSelect AI with RAGです。このセッションでは、この2つのRAGサービスとその代表的なユースケースおよびアーキテクチャについて取り上げます。それぞれの特徴や使い分けなど様々な視点からの比較をみなさんと一緒に見ていきたいと思います！
総当たりSQLテストはもう終わり！SPA×STAで実現するリグレッションテストの省コスト化,事業の競争力強化のための機能の追加・新規開発や、セキュリティリスクへの対応として定期的なパッチ適用などが急務となってきている今、これらを怠ったり、適切なテストが実施されずにトラブルが発生した場合、企業のレピュテーションリスクにも繋がる可能性があります。しかし、アプリケーションが使用するSQLを総当たりでテストしようとするとコストや期間がかさみ、やむを得ずテスト工程を圧縮し、その結果機能面、性能面でトラブルが発生する、ということも少なくありません。本セッションでは、こんな課題に対して「SPA×STA」という技術の掛け合わせによる省コスト化のソリューションをご紹介します。SQL PerformanceAnalyzer(SPA)は機能の追加や変更などで影響を受けるSQLを短期間で網羅性高く導きだすことができる強力なツールです。そこにさらにSQLTuningAdvisor(STA)を掛け合わせることで、チューニング案の導出まで自動化することができ、より強力な効果を発揮することを実感いただけます。
NRIが推進するクラウドネイティブなOCI活用術,NRIでは、オンプレミスやプライベートクラウドからOCIへのクラウドリフトを完了したシステムに対し、次のステップとしてOCIのPaaSを活用したモダナイズの推進に取り組んでいます。本セッションでは、Oracle Kubernetes Engine (OKE) や OCIGenerative AI などOCIのサービスを活用しながら、運用効率化やスケーラビリティの向上を目指した具体的な施策をお伝えします。さらに、生成AIを活用した運用効率化事例のデモを交え、実際の現場で直面した課題やその解決方法についても共有します。クラウドネイティブ化を実現するためのリアルな知見をお届けしますので、ぜひご参加ください。
スペシャル セッション,近日公開
OCIのコンテナサービスを学ぶ - OCIでコンテナを動かしてみよう,"クラウド・アプリケーションの最初のステップ ""コンテナ""をOCIでチャレンジしてみませんか？本セッションでは、コンテナ技術の基礎を理解し、簡単に使えるContainerInstanceサービスを体験しながら、コンテナ技術の便利さを体感いただきます！これからクラウド・アプリケーションにチャレンジしたい、初学者の方に最適なハンズオンです。"
Generative AI Service - OCIで生成AIを体験してみよう,今話題の生成AI技術を、OCIが提供する生成AIサービス「Generative AIService」を実際に動かしながら学んでみませんか？本ハンズオンセッションでは、生成AIだけでなく、AIを取り巻く関連技術についても解説し、オラクルのAI技術をご紹介します。AI技術に初めて触れる方にもわかりやすい内容となっていますので、ぜひお気軽にご参加ください。
OCIクイックスタート - 自動スケーリングを体感してみよう,自動スケーリングが構成されたWebアプリをOCI上にデプロイし、負荷をかけてスケーリングする様子を体感するハンズオンセッションです。アプリケーションは予めテンプレートが準備されているため、OCI初心者の方でも安心してご参加いただける内容になっています。ぜひこの機会に初めてのOCIをご体感ください。＊参加ご希望の方は、PCのご準備をお願いします。
Generative AI Service - OCIで生成AIを体験してみよう,今話題の生成AI技術を、OCIが提供する生成AIサービス「Generative AIService」を実際に動かしながら学んでみませんか？本ハンズオンセッションでは、生成AIだけでなく、AIを取り巻く関連技術についても解説し、オラクルのAI技術をご紹介します。AI技術に初めて触れる方にもわかりやすい内容となっていますので、ぜひお気軽にご参加ください。＊本セッションは、15:05–15:45開催分と同じ内容になります
